path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 36     340    368    282    282    993    12    3140.0  0.000  155   
/dashboard             38     316    892    255    255    1516   34    3445.7  0.443  180   
/mail                  35     476    1140   421    421    1850   93    3463.0  0.021  387   
/admin                 37     300    696    260    260    1266   30    3225.6  0.223  166   
/admin/domains         38     304    600    257    257    1267   17    3218.5  0.001  147   
/admin/accounts        54     404    704    359    359    1369   61    3226.9  0.015  168   
/admin/aliases         68     416    736    375    375    1379   21    3219.7  0.003  145   
/admin/apps            49     388    708    345    345    1353   21    3219.7  0.003  146   
/admin/groups          38     300    612    257    257    1278   25    3221.5  0.004  143   
/admin/email-groups    35     296    608    250    250    1260   21    3219.0  0.001  138   
/admin/queues          40     288    672    250    250    1254   17    3251.7  0.006  148   
/admin/audit-log       40     304    640    265    265    1268   17    3305.9  0.001  163   
/admin/system-config   38     308    632    265    265    1273   17    3224.1  0.000  183   
/settings              36     296    624    255    255    1264   17    3165.5  0.000  146   
