path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 37     188    256    153    153    995    11    658.3   0.000  69    
/dashboard             39     184    984    152    152    1554   37    992.7   0.211  145   
/mail                  38     192    1080   157    157    1915   67    1908.5  0.061  303   
/admin                 77     264    644    226    226    1227   31    770.8   0.000  126   
/admin/domains         42     196    492    158    159    1064   18    763.7   0.001  100   
/admin/accounts        39     196    516    157    157    1066   62    772.1   0.015  113   
/admin/aliases         38     188    500    153    154    1058   22    764.9   0.003  98    
/admin/apps            37     192    504    155    155    1063   22    764.9   0.003  98    
/admin/groups          44     204    516    166    166    1067   26    766.7   0.004  98    
/admin/email-groups    37     192    504    158    158    1062   22    764.2   0.001  96    
/admin/queues          35     184    552    146    146    1063   18    797.7   0.006  101   
/admin/audit-log       78     240    576    207    207    1100   18    851.1   0.001  117   
/admin/system-config   39     188    500    152    153    1062   18    769.3   0.000  104   
/settings              34     188    500    150    150    1061   17    684.8   0.000  96    
