path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 36     192    212    147    148    998    11    658.3   0.000  69    
/dashboard             35     180    952    149    150    1999   40    995.6   0.211  125   
/mail                  81     232    1144   200    200    1714   67    1908.5  0.062  274   
/admin                 38     192    568    161    161    1153   31    770.8   0.000  117   
/admin/domains         36     188    488    151    151    1055   18    763.7   0.001  96    
/admin/accounts        36     188    508    152    152    1061   62    772.1   0.015  113   
/admin/aliases         36     188    500    153    153    1000   22    764.9   0.003  90    
/admin/apps            39     196    508    161    161    1060   22    764.9   0.003  97    
/admin/groups          36     184    496    152    152    1000   26    766.7   0.004  93    
/admin/email-groups    35     184    496    151    151    1055   22    764.2   0.001  90    
/admin/queues          36     176    544    145    145    1140   18    797.7   0.006  94    
/admin/audit-log       39     188    520    155    155    1061   18    851.1   0.001  107   
/admin/system-config   36     184    488    148    148    998    18    769.3   0.000  94    
/settings              36     248    560    214    214    1057   17    684.8   0.000  85    
