path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 35     188    248    150    150    998    11    658.3   0.000  64    
/dashboard             37     184    996    147    147    1522   37    992.7   0.211  129   
/mail                  42     188    1116   155    155    1933   67    1908.5  0.062  279   
/admin                 36     188    556    155    155    1064   31    770.8   0.000  112   
/admin/domains         35     188    496    155    155    1054   18    763.7   0.001  96    
/admin/accounts        35     180    500    149    149    1055   62    772.1   0.015  110   
/admin/aliases         36     180    496    147    147    998    22    764.9   0.003  90    
/admin/apps            37     196    516    160    160    1056   22    764.9   0.003  95    
/admin/groups          41     188    500    154    154    999    26    766.7   0.004  89    
/admin/email-groups    35     180    492    150    150    1056   22    764.2   0.001  92    
/admin/queues          40     184    560    151    151    1060   18    797.7   0.006  96    
/admin/audit-log       42     196    528    162    162    1063   18    851.1   0.001  106   
/admin/system-config   38     188    492    154    154    1058   18    769.3   0.000  99    
/settings              35     188    500    154    154    1056   17    684.8   0.000  82    
