path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 38     240    308    180    180    979    11    2234.2  0.000  133   
/dashboard             38     200    852    153    153    1407   37    2569.3  0.211  173   
/mail                  37     204    1140   159    159    1814   67    3488.9  0.062  362   
/admin                 36     200    616    158    158    1164   31    2346.8  0.000  147   
/admin/domains         40     196    516    156    156    1064   18    2339.6  0.001  129   
/admin/accounts        38     204    536    159    159    1169   62    2348.1  0.015  140   
/admin/aliases         36     192    504    150    150    1061   22    2340.8  0.003  120   
/admin/apps            36     228    560    184    184    1190   22    2340.8  0.003  124   
/admin/groups          40     204    516    157    157    1064   26    2342.6  0.004  122   
/admin/email-groups    92     260    572    215    215    1116   22    2340.2  0.001  122   
/admin/queues          37     196    584    153    153    1161   18    2373.6  0.006  129   
/admin/audit-log       46     208    540    164    164    1071   18    2427.0  0.001  134   
/admin/system-config   39     204    516    160    160    1064   18    2345.2  0.000  125   
/settings              38     192    512    152    152    1064   17    2260.8  0.000  115   
