path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 36     192    220    154    154    995    11    658.3   0.000  68    
/dashboard             36     180    972    147    147    1544   37    992.7   0.211  141   
/mail                  40     188    1120   155    155    1864   67    1908.5  0.062  272   
/admin                 37     188    556    151    151    1147   31    770.8   0.000  113   
/admin/domains         36     184    488    152    152    1057   18    763.7   0.001  93    
/admin/accounts        37     192    532    157    157    1157   62    772.1   0.015  106   
/admin/aliases         36     176    488    145    145    1056   22    764.9   0.003  92    
/admin/apps            40     192    504    156    156    1060   22    764.9   0.003  88    
/admin/groups          35     184    508    148    148    1054   26    766.7   0.004  89    
/admin/email-groups    36     180    492    146    146    1056   22    764.2   0.001  88    
/admin/queues          38     184    568    152    152    1148   18    797.7   0.006  99    
/admin/audit-log       36     196    520    157    157    1058   18    851.1   0.001  107   
/admin/system-config   38     192    492    155    155    1061   18    769.3   0.000  98    
/settings              36     180    492    148    148    999    17    684.8   0.000  87    
